Day,Average Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Atmospheric pressure at sea level (hPa),Average relative humidity (%),Total rainfall (mm),Average visibility (Km),Average wind speed (Km/h),Maximum sustained wind speed (Km/h),Maximum speed of wind (Km/h),Total days it rained,Total days that snowed,Total days with thunderstorm,Total days with fog,date
4,27,29,26,1005.8,74,0,-,22.2,25.9,-,,,,,4-09-1991
5,26.9,29.8,25.3,1006,76,0,-,15.9,22.2,-,o,,,,5-09-1991
6,27.2,28.7,25.8,1005.6,78,0,4.5,12.2,16.5,-,,,,,6-09-1991
7,28,31,26.5,1003.4,71,0,-,20.7,22.2,-,,,,,7-09-1991
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-09-1991
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9-09-1991
10,27.4,30.4,25.6,1006.8,72,0,4,13.1,18.3,-,,,,,10-09-1991
11,28.7,32.7,25.2,1009.2,63,0,4,10.4,13,-,,,,,11-09-1991
12,28.2,31,25.2,1009.7,68,0,-,13,18.3,-,,,,,12-09-1991
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13-09-1991
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14-09-1991
15,26.9,29.4,25.5,1007.2,77,0,5.8,15.7,48.2,-,,,,,15-09-1991
16,26.6,29.4,24.7,1007.7,-,0,-,2.4,9.4,-,,,,,16-09-1991
17,27.6,32.1,26,1008.7,71,0,-,8.1,13,-,,,,,17-09-1991
18,27.6,31.5,21.6,1006.3,67,0,-,11.9,13,-,,,,,18-09-1991
19,30.3,36,25.4,1006.6,61,0,4,15.9,22.2,-,,,,,19-09-1991
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20-09-1991
21,27.6,33,23.4,1008.8,69,0,4,7.4,13,-,,,,,21-09-1991
22,31.5,36,23.1,1007.9,60,0,-,6.5,14.8,-,,,,,22-09-1991
23,27.3,33.7,24.5,1007.1,74,0,-,8,11.1,-,,,,,23-09-1991
24,27.8,31.2,24.8,1006.2,71,0,-,15.4,22.2,-,,,,,24-09-1991
25,27.9,31.1,26.5,1005.7,73,0,17.4,13.5,18.3,-,,,,,25-09-1991
26,27.4,31.2,26.3,1007.2,75,0,-,6.9,14.8,-,,,,,26-09-1991
27,28.2,32,25,1010.2,69,0,4,5.7,13,-,,,,,27-09-1991
28,28.6,31.5,25.1,1012.1,71,0,-,6.1,9.4,-,,,,,28-09-1991
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29-09-1991
30,29.6,37.3,23.5,1010.3,44,0,-,5.6,16.5,-,,,,,30-09-1991
1,29.5,37.7,22.5,1008.2,31,0,-,3.1,13,-,,,,,1-10-1991
2,28.9,37.5,22.5,1010.2,32,0,-,5.6,13,-,,,,,2-10-1991
3,28,37,18.5,1009.1,39,0,-,3.7,13,-,,,,,3-10-1991
4,29.5,37.8,20.2,1009,35,0,4,5,9.4,-,,,,,4-10-1991
5,29,35.1,23.5,1008.7,56,0,-,5.6,11.1,-,,,,,5-10-1991
6,27.4,32.7,22.7,1008.6,66,0,-,16.7,63,-,,,,,6-10-1991
7,27.5,34,24.5,1007.7,74,0,-,3.7,9.4,-,,,,,7-10-1991
8,28.8,34,25,1007.1,62,0,-,5.2,13,-,,,,,8-10-1991
9,28.7,37.8,22.8,1007.9,54,0,-,2.4,13,-,,,,,9-10-1991
10,26.8,32,21.4,1009.3,52,0,-,1.1,5.4,-,,,,o,10-10-1991
11,29.2,39.2,18.6,1007.8,43,0,4,3.5,9.4,-,,,,,11-10-1991
12,27.1,38.8,19.4,1007.7,56,0,-,2.6,13,-,,,,,12-10-1991
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13-10-1991
14,28.8,31.5,26,1005.7,18,0,-,11.3,18.3,-,,,,,14-10-1991
15,29.8,35,23,1010.5,24,0,-,3.7,9.4,-,,,,,15-10-1991
16,28.5,33.6,20.3,1015.7,29,0,3.5,4.6,9.4,-,,,,,16-10-1991
17,27,35.8,20.7,1015,31,0,4,2.4,9.4,-,,,,,17-10-1991
18,28.5,35.6,19,1013.6,31,0,-,3.7,13,-,,,,,18-10-1991
19,23,27,18,1013.2,77,0,-,0,-,-,,,,,19-10-1991
20,27.5,36.6,19.5,1011.8,50,0,4,3.9,13,-,,,,,20-10-1991
21,27.4,33.7,23,1010.9,69,0,3.5,6.9,13,-,,,,,21-10-1991
22,26.4,33.5,22.1,1012.2,74,0,3.1,1.5,5.4,-,,,,o,22-10-1991
23,28,37.3,19.6,1012.6,47,0,3.1,2.2,5.4,-,,,,,23-10-1991
24,28.3,38,20,1012.5,31,0,-,3,9.4,-,,,,,24-10-1991
25,29.3,37.5,21,1011.6,27,0,-,0,-,-,,,,,25-10-1991
26,29.3,37.8,20,1011,25,0,-,7.8,9.4,-,,,,,26-10-1991
27,27.9,34,21.5,-,31,0,-,5.6,13,-,,,,,27-10-1991
28,26.9,35.5,17.6,1009.9,53,0,4,2,9.4,-,,,,,28-10-1991
29,25.9,36.4,20.5,1009.6,57,0,-,1.1,5.4,-,,,,,29-10-1991
30,30.3,37,19,1010.5,31,0,-,4.6,9.4,-,,,,,30-10-1991
31,27.9,36,17.8,1011.8,33,0,-,4.1,9.4,-,,,,,31-10-1991
1,23.7,35.9,16.9,1011.8,57.0,0,-,2.6,13,-,,,,,1-11-1991
2,23.5,34.4,15.1,1012.6,60.0,0,-,1.5,9.4,-,,,,,2-11-1991
3,24.0,34.4,16.5,1012.4,63.0,0,2.7,2.4,9.4,-,,,,,3-11-1991
4,24.2,31.7,15.6,1013.0,66.0,0,2.3,1.5,9.4,-,,,,o,4-11-1991
5,24.0,30.5,16.8,1012.7,67.0,0,3.2,5,13,-,,,,o,5-11-1991
6,25.4,30.2,17.8,1013.7,67.0,0,4,6.5,16.5,-,,,,,6-11-1991
7,25.2,31.3,20.0,1014.1,59.0,0,-,4.6,9.4,-,,,,,7-11-1991
8,24.5,32.0,17.5,1012.5,58.0,0,-,3,14.8,-,,,,,8-11-1991
9,24.4,30.6,17.6,1013.1,50.0,0,4,4.6,13,-,,,,,9-11-1991
10,24.7,32.0,17.0,1015.5,42.0,0,4,1.5,9.4,-,,,,,10-11-1991
11,25.7,32.5,20.0,1017.6,34.0,0,4,4.3,13,-,,,,,11-11-1991
12,24.5,32.0,17.6,1017.4,35.0,0,-,5.9,9.4,-,,,,,12-11-1991
13,24.1,32.5,17.3,1019.0,42.0,0,-,4.6,13,-,,,,,13-11-1991
14,24.1,31.9,16.8,1019.0,41.0,0,4,4.4,16.5,-,,,,,14-11-1991
15,23.2,31.5,16.3,1017.2,40.0,0,-,2.4,9.4,-,,,,,15-11-1991
16,24.9,31.9,17.0,1016.5,27.0,0,-,4.8,9.4,-,,,,,16-11-1991
17,24.2,31.8,18.0,1018.0,29.0,0,-,4.6,13,-,,,,,17-11-1991
18,24.6,31.4,11.0,1019.0,29.0,0,-,4.1,9.4,-,,,,,18-11-1991
19,25.7,32.0,18.4,1018.2,30.0,0,4,6.3,13,-,,,,,19-11-1991
20,24.6,31.2,16.0,1016.9,44.0,0,4,3.1,9.4,-,,,,,20-11-1991
21,22.4,31.3,13.6,1015.2,53.0,0,2.7,2.2,13,-,,,,,21-11-1991
22,23.1,32.7,14.8,1016.6,40.0,0,3.5,2.4,9.4,-,,,,,22-11-1991
23,27.4,32.4,15.7,1017.7,26.0,0,4,5,9.4,-,,,,,23-11-1991
24,25.8,32.3,18.0,1017.9,24.0,0,-,11.1,16.5,-,,,,,24-11-1991
25,26.1,32.1,19.7,1016.8,25.0,0,4,5.6,13,-,,,,,25-11-1991
26,23.0,27.0,19.0,1018.1,34.0,0,-,-,-,-,,,,,26-11-1991
27,25.3,31.0,18.0,1016.9,49.0,0,-,4.8,9.4,-,,,,,27-11-1991
28,22.8,30.5,16.7,1015.6,68.0,0,-,4.1,9.4,-,,,,,28-11-1991
29,23.5,27.0,18.0,1014.3,52.0,0,-,8,13,-,,,,,29-11-1991
30,23.0,30.0,14.0,1015.0,17.0,0,-,6.7,13,-,,,,,30-11-1991
1,19.8,29.5,11,1015.9,25,0,-,3.7,9.4,-,,,,,1-12-1991
2,21,29,11,1017.5,25,0,-,1.9,5.4,-,,,,,2-12-1991
3,17.7,29,9.6,1018.9,36,0,-,1.5,5.4,-,,,,,3-12-1991
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4-12-1991
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-12-1991
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-12-1991
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7-12-1991
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-12-1991
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9-12-1991
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10-12-1991
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11-12-1991
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12-12-1991
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13-12-1991
14,23.3,31.6,16.5,1017.2,46,0,-,0,-,-,,,,,14-12-1991
15,22.3,32.1,13.8,1018.8,42,0,4,1.9,5.4,-,,,,,15-12-1991
16,21.8,31.5,15.2,1017.2,45,0,-,2,9.4,-,,,,,16-12-1991
17,23.1,30.8,15.6,1015.5,42,0,-,0.9,5.4,-,,,,,17-12-1991
18,19.1,29.9,12.2,1012.9,57,0,-,0,-,-,,,,,18-12-1991
19,23.3,29.5,13,1011.2,35,0,2.6,6.9,16.5,-,,,,,19-12-1991
20,22,28,15.1,1011,48,0,2.6,1.5,9.4,-,,,,,20-12-1991
21,18.9,27.1,14.5,1011.6,65,0,2.6,4.4,9.4,-,,,,,21-12-1991
22,20,26.7,12.6,1014.1,57,0,3.1,3,9.4,-,,,,,22-12-1991
23,21.6,26.6,13.3,1011.1,53,0,3.1,4.8,13,-,,,,,23-12-1991
24,18.2,24.5,13.6,1012.2,54,0,3.5,1.3,9.4,-,,,,,24-12-1991
25,18.9,26.4,10.8,1012.2,31,0,4,1.1,5.4,-,,,,,25-12-1991
26,17.9,25.3,10,1013.6,53,0,-,2.4,9.4,-,,,,,26-12-1991
27,18.1,26.5,10,1012.7,46,0,-,1.3,9.4,-,,,,,27-12-1991
28,18.2,26.5,10.2,1015,41,0,3.5,1.5,9.4,-,,,,,28-12-1991
29,19.8,26,11.5,1016.7,28,0,4,3,9.4,-,,,,,29-12-1991
30,16.5,24,11,1017.1,54,0,-,0,-,-,,,,,30-12-1991
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31-12-1991
1,15.6,24.8,11.4,1020.7,49,0,-,0,-,-,,,,,1-01-1992
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2-01-1992
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3-01-1992
4,16.5,23.4,9,1023.8,37,0,-,3.7,9.4,-,,,,,4-01-1992
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5-01-1992
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-01-1992
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7-01-1992
8,18,24.8,12,1017.8,25,0,-,3,9.4,-,,,,,8-01-1992
9,16.7,24,7.5,1018.1,34,0,4,1.5,5.4,-,,,,,9-01-1992
10,17.8,24.2,9.4,1018.5,21,0,-,5,9.4,-,,,,,10-01-1992
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11-01-1992
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12-01-1992
13,18.2,24,7,1020,23,0,4,5.2,16.5,-,,,,,13-01-1992
14,13.9,20,8.2,1020.8,39,0,-,3.7,9.4,-,,,,,14-01-1992
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15-01-1992
16,13.5,18,9.7,1019.8,59,0,-,0,-,-,,,,,16-01-1992
17,18.2,26,11,1019.3,25,0,3.5,3.3,9.4,-,,,,,17-01-1992
18,18.5,28.2,10.5,1018.5,32,0,-,1.9,18.3,-,,,,,18-01-1992
19,20.1,28,10,1019.2,41,0,-,0,-,-,,,,,19-01-1992
20,18.9,28.5,11.6,1017.6,66,0,-,5.6,18.3,-,,,,,20-01-1992
21,19.4,29,12.7,1017.3,63,0,-,1.9,9.4,-,,,,,21-01-1992
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22-01-1992
23,19.9,28,12.8,1017.3,59,0,-,2.6,13,-,,,,,23-01-1992
24,21.1,27.7,13.8,1017.6,70,0,-,3.7,13,-,,,,,24-01-1992
25,24.2,28.6,20,1016.8,50,0,-,3.7,9.4,-,,,,,25-01-1992
26,19.8,23.6,16.3,1017.3,57,0,-,3.1,13,-,,,,,26-01-1992
27,18,20,17,1018.1,78,1.02,-,2.4,9.4,-,o,,,,27-01-1992
28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28-01-1992
29,18.2,23.4,14.8,1012.6,89,7.87,-,5,16.5,-,o,,,o,29-01-1992
30,18.3,24,14,1016.2,58,0,3.5,1.3,5.4,-,,,,,30-01-1992
31,17.8,23.5,11.2,1018.7,59,0,-,-,-,-,,,,,31-01-1992
1,18.3,24,12.1,-,60,0,6.6,9.8,22.2,-,o,,,,1-02-1992
2,21,26.5,13.7,-,69,0,6.6,8.9,22.2,-,,,,,2-02-1992
3,21.4,27,15,-,68,0,7.1,4.6,14.8,-,,,,,3-02-1992
4,21,25.6,16,1015.9,58,0,5.6,4.4,11.1,-,,,,,4-02-1992
5,21.9,27.8,15.6,1015.7,61,0,5.5,2.2,13,-,,,,,5-02-1992
6,22.2,27,16,1013.6,69,0,6,14.3,25.9,-,,,,,6-02-1992
7,21.1,27,15,-,55,0,6.1,2,13,-,,,,,7-02-1992
8,18.1,25.2,8.5,1014.3,55,0,5.1,2.4,13,-,,,,,8-02-1992
9,21.1,27,14,1015.1,47,0,6,3,13,-,,,,,9-02-1992
10,19.2,27,14,1016.8,57,0,6.8,1.1,9.4,-,,,,,10-02-1992
11,21.5,27,15,1016.4,54,0,6.4,5.9,16.5,-,,,,,11-02-1992
12,18.9,24.5,14.5,-,74,0,6.4,15.9,25.9,-,o,,,,12-02-1992
13,19.7,24.6,15,1015.9,35,0,3.1,4.4,13,-,,,,,13-02-1992
14,17.7,26,13,-,44,0,8.2,3.5,13,-,,,,,14-02-1992
15,17.4,24.5,10,-,48,0,6.6,3.3,13,-,,,,,15-02-1992
16,20.7,25.5,16,-,48,0,5.5,13.7,22.2,-,,,,,16-02-1992
17,19.9,26,15,-,27,0,4,5.2,14.8,-,,,,,17-02-1992
18,20.2,25.6,10.4,-,33,0,6.8,5.4,16.5,-,,,,,18-02-1992
19,21.1,26,15,-,38,0,6.6,12.8,27.8,-,,,,,19-02-1992
20,19.9,28,15,1013.2,48,0,6.6,2.8,11.1,-,,,,,20-02-1992
21,20.2,27.5,14,-,47,0,6.8,2.4,9.4,-,,,,,21-02-1992
22,21.6,27,15,-,47,0,7.1,6.9,22.2,-,,,,,22-02-1992
23,22.8,30,13.5,-,45,0,7.4,5.9,22.2,-,,,,,23-02-1992
24,21.2,31,13,1018.7,47,0,6.4,0.6,9.4,-,,,,,24-02-1992
25,18.7,31,10.2,-,45,0,6.6,3.9,18.3,-,,,,,25-02-1992
26,19.5,29,13.1,1015.7,47,0,6,8.1,22.2,-,,,,,26-02-1992
27,22.8,27.6,14.8,1012.1,69,0,-,15.2,22.2,-,,,,,27-02-1992
28,23.2,27.5,20,1011.5,60,0,3.1,10.9,13,-,,,,,28-02-1992
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29-02-1992
1,20.1,25,17.4,1016.7,56,0,6,7.4,16.5,-,,,,,1-03-1992
2,22.4,29,14,-,45,0,6.9,7.2,18.3,-,,,,,2-03-1992
3,22.2,31.2,14.5,-,52,0,6.9,10.9,22.2,-,,,,,3-03-1992
4,22.4,29,16,1014.6,60,0,5.5,13,25.9,-,,,,,4-03-1992
5,23.2,28.5,18,-,38,0,7.1,13,22.2,-,,,,,5-03-1992
6,21.2,29,17,-,52,0,6.9,11.5,22.2,-,,,,,6-03-1992
7,21.6,27,16.8,-,47,0,6.9,7,18.3,-,,,,,7-03-1992
8,23.2,29,15.5,-,56,0,6.9,8.9,22.2,-,,,,,8-03-1992
9,23.3,31.2,16,-,59,0,6.4,8.3,22.2,-,,,,,9-03-1992
10,23,29.6,17,-,61,0,6.8,7.6,18.3,-,,,,,10-03-1992
11,24.6,31,18,-,55,0,6.9,13.9,27.8,-,,,,,11-03-1992
12,24.3,31.3,19,-,53,0,6,10.9,18.3,-,,,,,12-03-1992
13,25.7,32,17,1015.9,43,0,4.8,6.1,13,-,,,,,13-03-1992
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14-03-1992
15,22,30.6,12,1017.3,14,0,4,3,9.4,-,,,,,15-03-1992
16,23.1,31.8,17,1013.7,38,0,6.6,9.8,18.3,-,,,,,16-03-1992
17,25,31,16,-,57,0,6.9,10,20.6,-,,,,,17-03-1992
18,25.4,33,19,-,66,0,6,9.3,18.3,-,,,,,18-03-1992
19,25.4,31.5,21,-,54,0,6.9,13.1,40.7,-,,,,,19-03-1992
20,27.2,33,22,-,56,0,6.9,8.7,22.2,-,,,,,20-03-1992
21,26.2,32.6,20.3,1011.2,51,0,6.6,8,18.3,-,,,,,21-03-1992
22,24.4,30,21,-,59,0,6.8,10.9,18.3,-,,,,,22-03-1992
23,25.4,31,21,-,68,0,6.9,17,25.9,-,,,,,23-03-1992
24,24.6,30.7,21,1010,52,0,6.8,11.7,22.2,-,,,,,24-03-1992
25,21.2,24,17,-,75,0,6.4,7.4,22.2,-,o,,,,25-03-1992
26,22.3,27,17,-,65,1.02,6.8,5.7,13,-,o,,,,26-03-1992
27,22.6,27.5,19,-,54,0,6.8,8,20.6,-,o,,,,27-03-1992
28,24.3,31,20,-,49,0,8,11.5,18.3,-,,,,,28-03-1992
29,22.7,29.6,19,1010.7,58,0,6.9,9.6,25.9,-,,,,,29-03-1992
30,25.5,30,16.6,-,48,0,6.9,11.9,22.2,-,,,,,30-03-1992
31,26.1,33,18.5,-,36,0,6.8,7.2,16.5,-,,,,,31-03-1992
1,26.0,33.0,22.0,-,34.0,0,6.9,9.3,22.2,-,,,,,1-04-1992
2,27.0,34.0,18.5,-,39.0,0,7.2,5.7,20.6,-,,,,,2-04-1992
3,25.4,33.0,21.0,-,57.0,0,7.9,13.0,22.2,-,,,,,3-04-1992
4,25.8,31.0,21.0,-,59.0,0,6.4,15.0,22.2,-,,,,,4-04-1992
5,25.9,32.0,22.0,1008.8,71.0,0,6.9,18.0,27.8,-,,,,,5-04-1992
6,26.1,32.0,22.0,-,61.0,0,6.9,14.6,25.9,-,,,,,6-04-1992
7,26.3,31.0,22.0,-,55.0,0,6.9,11.5,27.8,-,,,,,7-04-1992
8,25.4,31.0,20.2,1011.2,63.0,0,6.8,5.2,22.2,-,,,,,8-04-1992
9,24.5,28.7,23.0,1009.4,53.0,0,-,6.7,18.3,-,,,,,9-04-1992
10,25.6,31.3,21.6,1010,55.0,0,4,10.7,13,-,,,,,10-04-1992
11,25.8,31.0,19.4,-,51.0,0,7.4,11.5,22.2,-,,,,,11-04-1992
12,27.6,34.3,22.0,-,38.0,0,7.2,8.1,18.3,-,,,,,12-04-1992
13,25.2,34.0,18.8,-,48.0,0,6.9,5.4,22.2,-,,,,,13-04-1992
14,26.1,35.0,18.0,-,53.0,0,7.1,6.7,18.3,-,,,,,14-04-1992
15,27.7,35.0,20.0,-,48.0,0,7.4,10.9,18.3,-,,,,,15-04-1992
16,26.6,33.0,22.0,-,59.0,0,7.2,12.2,24.1,-,,,,,16-04-1992
17,27.8,32.0,22.5,-,56.0,0,7.1,18.9,27.8,-,,,,,17-04-1992
18,29.1,38.0,23.0,1007.5,56.0,0,6.4,16.5,25.9,-,,,,,18-04-1992
19,27.4,33.0,23.0,1010.5,66.0,0,6.3,15.9,25.9,-,,,,,19-04-1992
20,25.4,32.0,23.0,-,77.0,0,6.3,15.2,27.8,-,,,,,20-04-1992
21,26.1,33.0,23.0,-,51.0,0,5.8,13.7,27.8,-,,,,,21-04-1992
22,27.5,32.0,23.0,-,61.0,0,-,9.3,22.2,-,,,,,22-04-1992
23,26.7,35.0,20.5,1008.2,60.0,0,3.7,4.1,13,-,,,,,23-04-1992
24,27.4,35.4,22.0,-,58.0,0,6.8,11.3,25.9,-,,,,,24-04-1992
25,29.5,36.0,23.0,-,55.0,0,6.9,12.6,24.1,-,,,,,25-04-1992
26,30.8,39.8,23.6,1011,46.0,0,7.2,12.4,24.1,-,,,,,26-04-1992
27,29.7,40.5,20.0,1008,52.0,0,6.1,11.1,13,-,,,,,27-04-1992
28,30.6,37.0,24.3,1008.2,50.0,0,-,26.5,-,-,,,,,28-04-1992
29,27.7,33.0,23.0,-,70.0,0,6.8,15.9,25.9,-,,,,,29-04-1992
30,28.2,34.5,23.0,1008.8,58.0,0,7.2,12.2,22.2,-,,,,,30-04-1992
1,28.3,34.0,24.0,1008,66,0,6.9,11.9,22.2,-,,,,,1-05-1992
2,28.6,35.0,24.0,-,63,0,6.6,13.0,24.1,-,,,,,2-05-1992
3,31.7,40.5,25.0,-,44,0,6.3,13.9,29.4,-,,,,,3-05-1992
4,30.8,39.5,26.0,1004.9,37,0,5.1,5.9,20.6,-,,,,,4-05-1992
5,31.3,37.3,25.6,1010,51,0,6.6,10.4,18.3,-,,,,,5-05-1992
6,29.8,38.4,25.5,1011,60,0,-,3.7,9.4,-,,,,,6-05-1992
7,28.3,34.0,26.0,1008.6,64,0,-,5.2,9.4,-,,,,,7-05-1992
8,29.3,35.0,26.0,1006.6,64,0,6.8,14.6,22.2,-,,,,,8-05-1992
9,29.9,33.5,25.6,1007.1,67,0,6.4,15.7,25.9,-,,,,,9-05-1992
10,28.8,37.5,26.0,1007.2,72,0,5,10.9,18.3,-,,,,,10-05-1992
11,29.2,34.0,25.8,1005.7,70,0,6.4,14.6,20.6,-,,,,,11-05-1992
12,29.8,36.0,26.0,1007.1,65,0,7.2,13.9,24.1,-,,,,,12-05-1992
13,29.4,33.6,23.0,1009.2,70,0,7.4,14.6,24.1,-,,,,,13-05-1992
14,29.7,35.2,26.0,1007.8,67,0,6.8,14.4,29.4,-,,,,,14-05-1992
15,30.0,36.5,25.8,1005.5,65,0,6.4,13.3,27.8,-,,,,,15-05-1992
16,30.3,36.5,24.5,1005.5,49,0,4.8,8.9,22.2,-,,,,,16-05-1992
17,30.6,38.0,26.0,1003.8,59,0,5.6,8.7,20.6,-,,,,,17-05-1992
18,29.6,38.7,25.8,1001.2,67,0,-,6.7,16.5,-,,,,,18-05-1992
19,31.4,41.5,25.8,1002.3,53,0,4.5,7.0,24.1,-,,,,,19-05-1992
20,30.8,34.0,27.0,1003.6,70,0,-,6.1,9.4,-,,,,,20-05-1992
21,30.4,34.7,27.0,-,65,0,6.9,18.0,27.8,-,,,,,21-05-1992
22,30.4,36.0,27.0,-,70,0,6.6,19.3,27.8,-,,,,,22-05-1992
23,30.5,36.0,27.0,-,70,0,6.9,13.9,22.2,-,,,,,23-05-1992
24,31.8,37.0,27.0,-,67,0,6.3,13.5,24.1,-,,,,,24-05-1992
25,32.0,37.5,28.0,-,68,0,6.9,13.0,24.1,-,,,,,25-05-1992
26,32.2,38.0,28.0,-,65,0,6.4,10.9,20.6,-,,,,,26-05-1992
27,31.7,37.0,27.0,-,67,0,6.8,12.8,20.6,-,,,,,27-05-1992
28,30.8,35.0,26.8,-,70,0,6.4,12.6,20.6,-,,,,,28-05-1992
29,31.0,35.0,27.2,-,64,0,6.3,15.4,27.8,-,,,,,29-05-1992
30,31.0,37.0,27.7,-,58,0,6.9,12.4,25.9,-,,,,,30-05-1992
31,30.0,34.7,26.3,-,67,0,6.6,10.9,24.1,-,,,,,31-05-1992
1,31.3,36,26.2,-,68,0,7.1,14.4,24.1,-,,,,,1-06-1992
2,30.2,35.1,27.7,1005.9,74,0,5.8,13.1,22.2,-,,,,,2-06-1992
3,30.4,34.8,27.9,1004.9,74,0,-,9.3,13,-,,,,,3-06-1992
4,30.7,35,28,1005.1,75,0,-,10.2,13,-,,,,,4-06-1992
5,31.2,34.5,28.3,1003.8,74,0,-,5.2,13,-,,,,,5-06-1992
6,31.7,38.7,28.2,1002.9,67,0,4,5,9.4,-,,,,,6-06-1992
7,30.4,38.3,28.4,1001.3,76,0,-,11.1,13,-,,,,,7-06-1992
8,31.7,35.5,28.3,1000.5,71,0,4,11.1,16.5,-,,,,,8-06-1992
9,31.1,34.9,28.9,1002.2,75,0,-,10.4,16.5,-,,,,,9-06-1992
10,31.8,35.5,29.3,1003,70,0,4,12.4,16.5,-,,,,,10-06-1992
11,31.3,36,28,-,64,0,6.3,21.7,31.7,-,,,,,11-06-1992
12,31.7,36.5,28,-,67,0,6.3,22,33.5,-,,,,,12-06-1992
13,32.4,35.2,29.5,999.2,68,0,-,12.2,13,-,,,,,13-06-1992
14,31.4,35.5,27.7,1000.1,72,0,-,13,16.5,-,,,,,14-06-1992
15,31.2,35.5,29,1001.7,74,0,-,16.3,33.5,-,,,,,15-06-1992
16,29.3,35,28,1000.4,79,0,6.3,16.7,22.2,-,,,,,16-06-1992
17,31.4,36,28,-,71,0,6.1,19.3,29.4,-,,,,,17-06-1992
18,31.5,36.5,28,-,69,0,6.8,16.5,22.2,-,,,,,18-06-1992
19,32.1,39.1,28.6,-,65,0,6.9,14.8,25.9,-,,,,,19-06-1992
20,31.9,35.5,28.5,-,68,0,6.9,14.6,25.9,-,,,,,20-06-1992
21,31.2,34.8,28.8,995.4,75,0,5.8,14.8,29.4,-,,,,,21-06-1992
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22-06-1992
23,29.8,33.7,29,996.8,79,0,-,-,-,-,,,,,23-06-1992
24,29.4,33.5,28.4,997.5,81,0,-,20,25.9,-,,,,,24-06-1992
25,30.2,32.5,28.5,998,76,0,-,23,27.8,-,,,,,25-06-1992
26,29.3,32.5,28,996.8,78,0,4.8,21.3,27.8,-,,,,,26-06-1992
27,29.8,33,27.9,-,78,0,5.6,20.4,36.7,-,,,,,27-06-1992
28,30.2,34,28,997.5,75,0,6,16.9,31.3,-,,,,,28-06-1992
29,30.1,33.8,28,-,76,0,6.9,18.7,25.9,-,,,,,29-06-1992
30,30.1,33.3,28,-,73,0,6.1,26.3,36.7,-,,,,,30-06-1992
1,29.3,32.0,27.8,999,75.0,0,5.6,21.1,27.8,-,,,,,1-07-1992
2,29.7,33.1,27.5,-,74.0,0,6.3,20.7,27.8,-,,,,,2-07-1992
3,29.8,33.2,27.9,-,73.0,0,6.8,19.6,27.8,-,,,,,3-07-1992
4,29.6,33.8,28.0,1003.6,71.0,0,6.3,17.6,23.7,-,o,,,,4-07-1992
5,30.5,34.1,28.0,-,70.0,0,6,21.9,29.4,-,,,,,5-07-1992
6,29.1,30.0,28.1,1003.4,75.0,0,-,24.6,37.0,-,,,,,6-07-1992
7,29.7,33.0,29.0,-,77.0,0,5.3,18.5,27.8,-,o,,,,7-07-1992
8,29.3,32.5,28.0,-,79.0,0,5.6,20.0,33.2,-,o,,,,8-07-1992
9,28.9,31.3,28.0,-,76.0,0,6,18.1,31.3,-,,,,,9-07-1992
10,30.9,39.0,25.7,-,65.0,0,6.8,18.7,33.5,-,,,,,10-07-1992
11,29.9,34.0,23.5,-,73.0,0,6.1,19.1,33.5,-,o,,o,,11-07-1992
12,30.7,34.0,26.4,-,66.0,0,6.6,16.3,27.8,-,,,,,12-07-1992
13,30.9,36.0,28.0,-,65.0,0,6.4,13.5,23.7,-,,,,,13-07-1992
14,31.8,37.0,21.9,-,61.0,0,7.6,14.3,23.7,-,,,,,14-07-1992
